Age,Income,Credit_Score,Loan_Amount,Employment_Length,Gender,Default
61,73641.23429487598,483,15600.968549666139,19,0,0
78,132586.05087643903,316,19569.742624056915,31,1,0
25,47874.36333418783,311,76994.29315983306,25,0,1
64,87139.97040203534,465,23053.82176527804,35,0,1
52,57626.66672946601,445,96945.02038493613,23,0,0
31,145243.09404933418,581,63975.09366309089,0,0,1
34,189957.59090229936,848,69559.23341609826,27,1,0
53,199191.97424285594,468,22563.835409235544,25,0,1
67,101049.82587948634,469,89377.92509541339,33,1,0
57,65455.470134560004,645,67113.6427091732,25,0,1
21,99709.28666917834,798,86576.15680984453,35,1,0
19,172508.49379329028,759,95691.62862589148,4,1,0
79,57081.02213936718,596,13438.456733850047,1,0,0
23,191377.21729752628,441,10562.135796625622,31,1,1
71,81535.83838366717,352,80537.37483237394,33,1,0
59,197444.65870105487,417,86746.47985032285,29,1,0
21,170949.5997561132,664,58792.38066692058,23,1,0
71,165542.69614653027,435,37234.05422730154,27,1,0
46,77222.84127919105,713,65610.33397144715,2,1,0
80,21579.898150627305,376,31260.743186653275,9,0,1
35,88783.9235886778,317,24600.183523193347,5,1,1
43,74325.68653928486,702,49326.375743199285,33,1,0
61,26731.458273583514,504,22399.22893303159,30,1,1
51,110965.74617106734,798,48886.65722320211,12,0,0
27,92545.6360308926,623,95704.04404089363,38,0,0
79,134220.16419347445,580,84138.61952612165,19,0,1
53,131813.53799493497,465,94221.4610305022,31,1,0
31,41734.39446140242,542,80826.5685098885,9,0,0
48,195853.79830279207,778,36120.342658681395,25,0,1
65,53647.65729946044,463,81392.47861660435,18,0,0
32,100149.32445764683,623,92368.65861176819,28,1,0
25,107861.15781807229,850,94756.5429958684,12,0,0
31,166351.30349854162,507,68636.58721781471,33,0,0
40,37861.32729703642,614,21925.297737696204,19,1,0
77,97155.97025753572,603,4933.186183104394,39,1,0
74,133130.39064251672,538,15572.82258785542,17,0,1
79,58728.011892329996,523,96589.1448715006,33,1,0
57,132944.2217778931,387,46747.58559508417,7,0,0
38,186259.6707589375,836,85643.6154683737,15,1,0
33,199553.2636110815,728,47039.37120227082,39,0,0
62,25841.193822321628,519,66420.9407625241,22,1,0
35,62405.881084041954,574,3389.936935111031,31,1,0
64,75855.28084250554,365,25736.62932921731,12,1,0
70,91842.6980800939,722,44190.65872421634,25,0,0
41,63606.28836525813,554,63432.47366826215,37,0,0
43,56627.83901995626,424,17980.597617264673,0,0,0
42,191819.69163515,445,76690.59496277852,1,1,0
77,185333.8884986932,684,37076.06590748749,38,1,0
77,28458.650180561144,746,81926.09165415456,12,0,0
77,80986.34388887267,686,10698.939949111662,26,1,0
62,92926.73966211319,682,68295.90218055483,3,0,0
58,63022.61623986981,576,30039.50498744451,40,0,0
46,133197.12145787157,681,79742.93423813918,19,0,0
32,135268.5343959634,423,40814.87227719864,2,1,0
62,173090.76109914746,566,66869.61359409308,22,0,1
18,153356.46830933922,410,93496.22159501087,1,0,0
42,117663.19885387202,680,3042.0365693626713,15,0,0
24,137645.61860799557,457,2100.56145110299,9,0,1
26,69317.98067774325,847,77257.64596549464,27,0,0
41,126750.11419412438,417,64992.912099299734,17,1,1
18,108060.90585498547,627,30004.992329938832,1,1,0
61,44002.00411694667,367,49945.273574651976,13,0,1
25,63657.96978493473,733,5151.630894288006,19,0,0
41,72504.82112988549,658,20052.114930762837,39,0,0
80,186375.72206946043,742,43025.14107818958,22,0,0
28,61469.5950894601,463,83570.39720592674,6,1,1
68,72063.90250754028,660,48487.0511031484,13,1,0
34,86483.74341609782,418,59049.88794807189,36,0,0
25,139473.69295256966,494,87501.62540738426,7,1,1
52,41282.91064498529,540,31573.072445295682,4,1,1
52,191710.1382488797,808,70369.23278910354,22,0,0
50,175802.8196170576,441,86305.05860914708,40,0,0
76,123898.89314161103,330,21058.954368921495,9,0,0
22,141326.8161364922,522,36291.338349635414,26,0,0
59,22998.884823958877,565,98001.20721504616,34,0,1
56,81010.05956272077,581,98338.6379148249,0,1,0
75,163218.84151905956,680,23099.76309909985,6,1,0
58,33946.93528262946,361,7578.138050370184,7,1,1
45,70816.49015792963,820,27821.239519695235,10,1,0
24,125353.42910017603,370,40375.46377306504,33,0,0
26,66154.34498580953,835,44659.554492185205,27,1,1
25,188116.03534601346,439,62261.82442571194,33,0,1
29,43590.553544772265,615,90050.7732530231,19,1,0
51,163530.98442340014,639,33704.45317880908,27,0,0
50,111430.76454315348,827,85148.46901442164,36,1,0
65,155059.5396475921,840,10254.413171736063,2,1,0
72,75928.75909606053,715,5145.595198348257,8,1,0
40,112608.12841616698,766,50900.473129222664,21,0,1
79,174230.36295017175,674,6906.560109729884,24,0,0
41,104038.0578421588,590,39856.49032218879,1,1,0
54,84749.57514384853,342,89781.0335700542,22,0,1
52,116507.96952549249,352,24906.820584539862,16,1,0
61,149125.29554654605,531,70891.60173736542,24,1,1
57,99841.40218973049,511,30934.17384661662,11,0,1
39,188997.85552560913,307,5447.085468971425,26,0,0
44,73090.24832762156,782,56112.36755962062,19,1,0
52,105583.44911044168,341,83650.49556313842,8,1,0
18,156246.97868145947,632,41537.37638591932,22,1,1
52,144041.79628923646,532,62112.08881935062,35,1,1
54,175455.38943508812,369,90102.33616811487,27,1,0
64,199425.65252259962,315,79179.75676096178,28,1,1
31,96834.49918311612,368,20193.76353988911,31,1,0
20,40007.15836099613,352,73605.01197713557,11,0,0
18,25474.858545434236,678,50687.40949085505,29,0,0
22,150837.84310515889,762,74850.71398072239,10,0,0
43,177322.4608355688,826,49957.0395016996,36,0,0
72,59728.265469995364,362,13667.858246721982,19,0,1
80,48520.64669418307,560,57421.03522223468,10,0,0
31,31196.916474624377,799,49721.26524733665,37,0,0
56,168086.52590909714,420,52274.25163050274,15,1,1
44,76048.74918066518,539,88011.34291094115,34,1,1
26,92305.44069675978,764,89588.8676239189,0,0,0
32,110495.03448973021,406,45900.17356980612,24,1,0
32,171101.58215771912,479,46117.47208672875,26,0,1
43,137149.9798810673,315,52003.50892838898,31,0,0
59,130711.63337440604,654,52439.33855509144,5,0,0
77,51620.97799206393,608,95088.32727373215,40,0,0
30,112374.18050776936,480,65290.64627037185,35,1,0
68,148768.58309215793,473,28468.24249390645,38,0,1
80,195186.9589454885,653,53622.142898445,22,0,0
49,56253.1356584034,653,63095.134707890305,28,0,0
56,21717.803552100795,518,64337.40038038249,29,1,1
66,33554.25804772455,614,58940.168397580084,21,1,1
69,87653.44373275626,733,18595.8793075322,10,0,0
78,167698.03659427768,581,4325.725718871241,25,1,0
49,21285.574718284108,558,34446.46218431859,22,0,1
21,102211.50671945125,304,43324.6933014651,2,1,0
47,79261.510761451,693,7118.619718032574,5,0,0
54,29446.707817950963,635,81681.76646396477,6,0,1
40,101042.53160107111,362,35063.666313517104,38,0,1
56,65854.76732060939,343,91449.64187167196,21,1,1
62,83339.27018246116,452,16286.60067638425,32,1,0
32,147010.75486117275,455,6636.560736794029,39,0,0
60,113879.17710397409,777,48749.29433424585,2,1,0
46,42436.537218706406,574,19723.804345744957,29,1,0
53,193054.61727625504,657,93802.52828220825,23,0,0
30,134463.9378277529,725,2020.0364469201563,2,0,0
49,157856.31661925567,831,41849.34783084446,1,1,0
24,34258.36700150675,782,92748.02936317166,39,0,0
76,28470.5083028034,513,39057.40246624707,18,1,0
68,23500.64906625461,378,10217.818779445615,23,0,0
39,53982.92499922,438,30986.59934331692,19,0,1
45,94593.51158932912,397,50303.028989608916,30,0,0
19,188448.7040125081,497,19330.017046989975,40,0,1
59,102270.73866783973,455,47189.60880918293,30,0,0
62,72245.9189670553,349,83797.97638279792,36,0,0
79,121148.3456335394,778,87389.17904946468,28,0,0
74,40148.22406426206,527,5876.812736362479,3,0,1
70,129711.06038089698,756,16929.432447204774,9,1,0
23,122317.7517794906,821,28253.72344091361,35,1,0
45,162558.74601302773,448,59891.71923787258,34,1,1
45,197603.77009106433,357,36738.48112045424,20,1,0
61,65157.224908899894,461,84560.05043116146,40,1,1
61,111738.16114467692,776,71950.51496001083,0,1,1
37,183595.77313742065,406,10945.146288237313,11,1,0
47,161334.17919611145,726,62831.19274869703,23,1,0
79,107733.13455814536,694,12188.249909350863,1,1,0
28,190166.89693066,485,26248.531294009546,19,0,0
75,30302.60483302569,745,18609.19271988858,15,1,1
72,187579.75154826514,747,18133.13297086979,33,1,0
45,29091.330628905176,386,62023.15695290906,12,0,1
42,118514.85394064318,548,56796.88733286199,17,1,1
56,180279.37064019544,739,18426.78712598496,28,0,0
79,67289.76984103452,556,99027.10773642475,13,0,0
50,105004.72981012854,576,42761.836504461084,29,1,0
18,78379.19824465399,737,10609.863487338725,34,1,0
74,191385.90507374326,815,12936.332678556397,8,0,0
44,168256.20705555636,501,58805.477658932876,36,1,0
79,147620.2720387483,479,97927.87093496381,38,1,1
74,125772.85759071956,624,57623.15906030058,11,1,0
69,167706.52207834666,774,94955.10618504709,20,1,0
30,90608.06747423847,699,44969.15222504465,17,0,0
58,100559.33391909114,516,44148.26926154919,10,0,1
20,151400.30979455507,752,50500.72857227234,26,1,0
56,84395.85739286857,703,70045.12035739997,23,1,0
23,31502.169568707286,539,37393.98067868193,40,1,1
25,33380.229599492865,485,86524.71723521674,33,0,1
44,40765.30423502669,347,3898.857092046477,19,1,0
26,176542.63820185928,685,44536.65530781579,12,1,0
79,105000.75663611678,507,51588.193148011866,7,0,1
54,148318.82648205257,456,61096.19158804652,36,0,0
50,90723.68040888078,524,28331.11932422046,4,1,1
68,66567.9705348142,443,43320.5171275977,6,0,0
59,82494.59016119814,718,48969.23727119161,11,1,0
61,162952.82215709303,410,69004.0878896381,40,0,1
41,132538.90250565886,764,77580.87428884559,3,0,0
32,188775.16039242237,431,74044.90540703494,39,0,0
76,142346.86014383013,633,34816.72217666895,18,0,0
71,122632.69371584491,374,99945.60177620439,0,0,1
49,129835.28161745021,711,85017.86586693076,12,0,0
49,189626.85910431464,818,26742.313941351924,24,1,0
41,161876.1673760071,335,20315.474761609927,33,1,0
58,24327.422725958808,522,32088.10380775566,34,0,1
69,116145.1453044255,829,45782.14044696484,16,0,0
66,143900.91407838167,540,85229.13845364178,25,1,1
79,154765.7261190479,433,78057.86411565891,20,1,1
66,58365.5814765086,690,85273.36622708173,11,0,0
75,176091.9238012434,401,27923.75437612252,15,0,1
69,192051.76649152947,797,59752.66102273178,19,1,0
29,62608.75505207656,810,29041.65716546007,9,0,0
79,178870.78235310424,836,11793.29291122982,22,1,0
56,37456.17725289717,844,68735.57660399338,29,0,0
19,30027.230500744132,642,15156.75756834844,7,0,1
20,43260.28401849489,305,67102.07840894067,4,0,1
66,30393.394304066478,493,65148.4661856355,11,0,1
54,172102.20268803966,436,81214.59599797768,13,1,1
66,30629.02600248895,772,14815.905851792875,11,1,1
73,68899.554445458,515,78564.53470237227,23,1,1
34,38676.141836454146,648,99928.37606867746,16,1,1
76,73175.9665364777,482,85253.20241000432,0,1,0
66,36300.704168165685,467,75429.39555643896,36,1,1
19,140240.58513374254,337,66554.37011477606,10,0,0
19,43998.82694166353,770,42756.366983857515,5,0,0
45,173332.2666509998,751,73319.51662126862,14,1,0
71,167094.38913079537,789,72693.62547890487,40,0,1
40,22459.103384709695,441,63518.329986041535,39,1,1
54,181230.7439927206,402,79831.55945148501,22,1,0
49,25209.97701380607,341,45427.62495425664,22,0,0
50,63136.24129236019,446,13004.018501106673,37,1,0
18,25830.04479967911,365,56347.7050333145,37,0,1
36,80451.82766707687,492,27239.30934242292,11,1,1
79,112495.9746283889,597,39058.87664548587,6,1,0
19,163396.07642272484,337,2724.075490181376,36,1,1
70,80836.6790845705,801,38896.26820387045,15,0,0
61,146988.204441161,727,81071.30950741001,37,0,0
43,53750.80228141646,651,54729.51432688723,39,0,0
49,155107.72221394276,625,1970.2521664631333,34,0,0
23,62479.389063662755,337,47514.53820374488,39,1,0
49,45838.05606987822,396,29853.713116895335,28,0,0
72,53373.59306732978,407,48277.51488431994,38,0,0
21,52771.36319873397,450,41064.57942333983,16,0,0
72,112315.3182878584,373,93265.94273618078,25,0,0
28,172063.5646138663,356,5076.552597338565,19,1,0
73,34328.91385865101,634,68675.2131169113,24,0,1
76,147252.13732881608,551,85251.63303387241,37,1,0
34,137782.36273751437,553,95964.61988039706,38,0,0
80,177053.59132928523,684,18585.986427885295,36,0,0
55,63946.5608912433,755,53599.1753946532,18,0,0
41,101019.77456330533,558,5315.368154403979,20,0,1
22,186648.92739983313,764,50419.168921053766,31,0,0
69,138798.8210243571,333,13420.350864557211,27,0,1
51,89978.31431508744,794,83951.77079517263,38,0,0
23,43654.22891394832,625,12273.13025793112,40,0,0
39,67247.3014221064,537,51815.547678263036,11,0,0
28,124618.78594808899,840,52588.51083028262,14,1,0
80,149270.23056089247,765,97193.39929522894,27,0,0
65,42395.93963334082,603,65843.08870984992,20,0,0
33,127927.50680792972,416,29496.18901460339,15,0,0
50,119063.23019097518,506,24839.13168387571,22,1,1
26,112511.98040432745,780,13696.572358861424,25,1,1
77,144222.16118276143,702,75894.9576808569,14,0,0
76,170740.92711502314,532,69384.90896205153,36,0,0
23,78138.1429718363,583,61377.83560350249,11,1,1
33,180022.1942199727,779,5043.203852048846,3,1,0
46,48914.050271339125,308,76520.05777303515,34,0,0
20,51144.296555209585,678,64546.87013769944,30,1,0
37,68018.97145230632,680,96424.99794293835,26,0,0
77,41515.556518474004,659,59133.010857804395,31,1,0
76,61457.46044291797,475,31091.238759509106,32,0,1
53,39154.11732251203,784,38770.5346667427,12,0,1
36,167915.43505737025,704,18408.229832445017,36,0,0
43,45014.41853959243,332,72568.50403793713,1,0,1
20,154513.56036077422,764,71064.4443421508,37,0,0
80,28624.49622440007,456,20864.351532289947,36,1,1
36,190733.65895250472,501,16690.44299504558,4,0,0
37,148008.8157549979,474,8623.488387017263,17,1,1
49,21223.378745500122,543,91285.5986244941,16,1,0
24,157494.17003603853,568,24073.91353579026,1,1,0
69,112534.74573791336,745,35072.18914842859,34,1,0
58,160285.73066032157,373,28769.946329371574,13,0,1
50,114049.42560030593,395,41948.83565846831,11,1,0
57,135384.47437436384,472,71690.83113886585,32,1,0
56,161539.6979711073,705,87188.96773890217,6,1,0
35,92919.44982581421,454,19077.276203325477,38,0,0
57,20487.466967681376,482,68954.82203037535,8,0,1
18,172990.36927013393,622,35903.65208200603,4,1,0
28,88560.26527243927,588,98072.18966143198,3,1,0
45,109287.69068298495,557,30592.99676912361,31,0,1
74,21397.99558771437,473,1712.1026447781364,4,1,0
42,108576.56186301763,629,52048.35742796467,7,0,0
67,197567.7322829113,530,15922.377343317836,12,1,0
40,70088.17894737853,460,5404.948255021511,3,1,1
48,91175.28864362805,485,70128.65396282314,10,0,1
47,143694.1993643618,442,73493.6689683372,14,0,0
59,166662.86015425855,581,46609.202298533746,17,1,1
52,95130.49232109805,326,68011.66615890115,19,0,0
24,75740.39667223266,545,54285.705376466256,0,1,1
77,188808.6439973121,786,63350.309664471235,0,0,0
33,141886.09400090046,501,60073.69334560816,10,0,1
43,41423.834808765394,320,66916.45364150364,28,0,0
65,32407.018064236752,393,20763.434218643953,28,1,1
74,107038.97314226643,307,27601.95538363332,23,1,1
69,59616.21188850904,771,44556.35180126151,19,1,0
77,65717.25560772562,638,45166.67293249945,29,0,0
66,177984.59218901268,558,77666.75944710353,37,1,0
19,36121.88437693592,354,37371.97226372367,4,0,1
18,148765.54074120015,847,17088.01044985905,9,0,0
65,68805.60560850585,305,25895.131078616512,5,0,0
79,156859.0798527448,676,22258.61673603861,3,0,0
29,150034.04920343804,349,73434.34190634618,3,1,1
22,21330.542259972746,411,47563.62184797222,6,1,1
54,111644.37432588784,445,71154.43909912735,32,1,1
49,45077.50682804835,529,42205.74839500507,8,0,1
76,175920.86550416183,796,89083.8246478866,25,1,1
72,176885.45891523318,605,98368.51046455072,40,0,0
26,95302.24534887644,841,67314.40836155856,20,1,0
58,99991.2113211945,760,86517.44316638567,21,1,0
52,74590.92909281488,525,51285.3934500342,32,1,0
36,148989.13381280558,358,93527.46319503688,32,1,0
65,84559.04534476265,375,83327.06208160997,4,1,0
33,68202.64541407408,727,99186.07860483788,20,1,0
20,97801.59071081148,431,62686.279797450276,26,0,0
37,36467.75330974257,797,78141.46728655463,40,0,0
41,154388.5768359567,604,54743.94585784314,0,0,0
71,22267.352228921653,366,26652.890322870862,15,1,1
73,136007.3110737069,529,36120.761941846016,34,0,1
50,52915.61481587704,632,89506.53605840029,35,1,0
41,61832.72831859436,576,6538.846713263436,31,0,0
69,134413.7597552072,443,59556.50872136641,28,1,1
28,198729.8238409233,550,37875.91921790676,38,1,0
66,159989.14803305911,379,39282.561262550014,22,0,1
25,60651.133800210555,356,88572.54943496296,14,1,1
53,51684.45590740409,665,85528.41508007643,25,1,0
55,175921.91664818066,607,60285.3951816744,36,0,0
57,99953.11062587077,473,28018.965893029057,24,0,0
37,44669.50450906798,761,48070.17827004038,1,0,0
79,175198.05619794887,792,41421.04598513239,11,0,0
52,166896.62352456705,673,36008.184891047036,18,0,0
65,197103.14550148943,648,11175.772277172346,31,1,1
79,183753.8636082831,366,54768.27478481671,22,1,1
42,173322.2609588975,629,30881.298489573877,4,0,1
52,29463.391605980567,493,66419.98634982531,24,1,0
42,38794.76650966125,454,32601.189646727544,34,0,0
46,122416.9749747421,459,43685.185820345374,28,1,0
35,115666.26433072776,565,6183.677045246346,37,1,0
63,102433.37860811639,467,99261.2689206423,19,1,0
35,91422.07857462516,444,51253.42794424241,35,0,0
19,97617.8872755792,485,3399.521822253109,6,1,1
71,122473.62814426314,722,54581.83521735326,21,0,0
52,20373.773168014617,756,87165.04593125932,17,0,1
33,66927.5793439134,644,77482.66129235405,20,0,0
78,113290.349723968,815,70389.76172881595,21,1,0
58,149998.89776125632,403,14807.000805304455,38,1,1
53,51348.204631171335,546,66115.97081975976,11,1,1
50,118438.61128173793,322,76863.53942321378,10,0,0
21,148602.7430994407,824,57669.48733258416,11,0,0
50,100032.97842450284,443,89382.1514475148,25,0,0
31,24874.60406060919,492,28421.98839670366,29,0,0
38,100868.26852381461,764,24972.325274185805,14,0,0
65,73360.07979394756,674,87087.40474932196,7,0,0
37,187336.9293862391,565,62914.42605615379,17,1,1
73,42430.40942209892,677,1143.2748315789333,9,0,0
25,137445.6719913018,849,35960.0094425942,7,1,1
24,29489.55794021021,373,85927.74259565277,37,0,0
20,100310.67880628537,737,3704.6316525325856,34,0,0
34,119716.30769961451,525,1321.5448978893792,19,1,0
50,73631.88763703578,607,28844.669761987847,11,1,0
65,101913.6143936692,647,91486.00366391851,2,1,0
29,49439.68301543372,775,90246.28056553162,19,1,0
76,74742.29290424651,614,52357.43263434929,11,1,0
68,131799.13848383655,824,55770.45024282264,23,1,0
39,74324.01005500791,724,33868.79312040169,15,1,1
72,181953.7541135969,823,25129.929540753175,9,0,1
39,133113.25237537816,548,81706.96356699971,18,0,0
63,98956.82331847721,481,11523.191189464502,40,0,0
47,26976.248399752843,405,49248.082716984936,13,0,1
55,109918.70033684082,490,63805.32869021136,13,1,0
55,157659.72358251605,436,11264.348746731892,21,1,0
62,67800.36764223446,419,52441.10245176227,3,0,1
68,165219.24253677813,371,58174.60750333188,33,1,1
71,65325.21788915867,430,74507.10999022912,17,0,0
25,168274.3498311441,756,24248.768865605754,33,1,0
44,35348.301490101934,778,30039.42282578507,17,0,1
44,175913.0675964253,351,57382.59351667031,39,0,1
51,109853.56116799949,418,98329.5145881798,30,0,1
38,73376.76613164716,563,22531.82509919133,19,1,1
47,67720.38507472677,538,98604.47888522294,35,0,1
50,97761.90060746529,650,71719.91077239365,9,0,0
45,199828.9096586561,554,82782.1248933723,2,0,0
64,59658.930818764864,608,9874.485555397583,20,1,0
50,38578.99679821993,794,30741.598555632594,35,0,1
22,125306.33036935914,356,6715.891685447124,9,1,1
77,107937.64395924628,702,37783.15250531435,6,1,1
78,114355.32879139532,366,98147.67633208513,21,0,0
65,140048.37516029907,345,11422.033158427508,22,1,1
36,68085.93257671688,668,56674.90545474875,11,1,0
21,183919.6991690999,531,1600.9916585674198,38,1,1
52,98420.97190201227,701,71555.5987883622,12,1,0
66,43235.51512564312,322,20522.076544832067,39,0,0
34,153613.77621210998,566,13828.869175351529,12,1,1
61,135758.78347121304,417,34364.763403917976,32,0,0
45,76833.81244712668,354,77333.38549595917,30,1,0
47,131873.37032612873,452,11554.695544809869,27,1,1
46,59575.152146415836,538,23754.06058407084,18,0,1
63,100071.08468129532,564,1837.9777401136441,20,1,0
70,181894.25399011854,567,96873.07140686619,31,1,1
23,44036.161968934895,412,59622.41439889752,25,0,0
52,89605.36099774316,465,72270.06400208524,12,1,1
77,167805.6364496625,307,65486.93394444544,28,0,0
58,194508.36189311207,516,15292.091328097762,6,0,1
54,101706.70455592326,730,59899.053960405414,25,1,0
41,111259.93162580254,591,14010.143918984948,5,0,0
46,122990.95312107855,349,40722.40894234966,31,1,0
66,187822.66549406794,406,57327.35045660401,35,1,1
63,174477.22237586536,308,56329.230296113434,22,0,1
70,50708.20243189598,755,12788.269172291355,10,1,0
48,98616.4072124735,622,4409.160995005695,20,0,0
52,103520.07707535673,608,80025.19707350757,18,1,0
77,162037.30009677622,444,72866.32126260453,33,0,0
50,128520.71886897835,711,9100.071551909068,34,0,0
69,137759.68316522235,413,13614.13636135379,30,0,1
80,199675.98337981116,698,89365.7938625724,28,0,0
78,33492.80782460235,574,77143.76126055622,5,0,1
38,60141.76823607194,423,99619.86932545074,35,0,0
49,93421.26872687844,385,26144.757471297147,30,1,1
40,82600.83254879969,346,49292.495898012676,31,1,0
50,23896.201042457047,500,24409.498030173214,39,1,0
20,36519.96916481165,575,62657.213709253665,19,1,0
35,142571.59245264373,848,12426.009670040481,21,0,0
42,178278.4034052609,429,13597.074101560276,2,0,0
59,112560.86202787596,747,8116.901249107142,7,0,0
48,117054.39431245394,688,69665.02214415254,18,0,0
71,65916.8179098283,562,49913.18516588747,30,1,1
75,158217.74545406803,577,62155.39041910837,31,0,0
20,155323.02572610613,345,88050.80361234653,14,0,0
57,125905.8240591782,467,74292.5199907805,38,0,0
63,58279.571572041714,744,46710.56889850241,30,1,0
41,37463.2792826761,345,98451.24285102842,2,1,1
67,31562.94365428266,839,46169.35401305535,31,1,1
49,126685.291995718,386,12132.616650119786,9,1,1
64,168506.357445704,684,99272.81997801887,27,0,0
39,174499.47772056647,564,3259.252271469883,26,1,0
40,103451.97338182096,321,55438.47238928746,39,1,0
19,161168.83387520903,749,31600.453381271218,30,0,0
80,190438.43534138426,531,50851.66295068149,33,1,0
44,69530.62024785223,485,56312.582306857636,4,1,0
59,91632.86234853629,625,24769.493731570274,10,0,0
19,187666.2186674025,482,56129.01681798892,6,1,0
43,80881.57411711127,696,75850.05008854822,7,1,0
34,184497.73225792334,780,27384.473887155837,16,1,0
57,196588.07520580382,702,38959.1871980768,38,1,0
50,139125.93114339645,762,27556.026623241734,40,0,0
26,167040.2521107503,716,82235.41336783204,13,0,0
60,154918.20155979533,501,72773.24366175008,23,1,0
71,145916.1663707943,364,87248.44728462232,29,0,1
65,75247.59313662187,316,17834.93939726427,14,0,0
56,30276.98082342987,482,8284.384177815402,3,1,1
46,81749.3118535371,690,12818.966882008663,12,1,0
59,140048.4773367032,343,16940.8149495994,4,0,1
72,38455.255681004244,781,53775.18340680544,30,0,0
43,22145.236936083576,562,97120.29496591372,11,1,1
52,45144.62706852896,473,36366.30624506142,29,0,0
67,148832.46675394315,740,95892.31866666031,9,0,0
42,195102.8662981599,519,4781.878703928793,29,1,0
41,196951.64593066767,693,92760.34807865118,25,1,0
30,108916.24684523382,494,18934.108123192145,5,1,0
77,176483.41417862254,708,91335.02358621554,26,1,0
